Date,Open,High,Low,Close,Volume
2019-01-02,222.48694856291044,227.21745187825937,222.4598149057745,226.2858123779297,126925200.0
2019-01-03,224.52201853897697,224.82955627143124,220.39753771872975,220.88597106933597,144140700.0
2019-01-04,223.9431497952931,228.93594902766336,223.56326484738307,228.2847137451172,142628800.0
2019-01-07,228.55612286003583,231.50476229107232,227.65163071293148,230.084716796875,103139100.0
2019-01-08,232.29164008713929,232.73483233043655,229.74096604415652,232.24639892578125,102512600.0
2019-01-09,232.96094210123965,234.1820117420944,231.72179255861127,233.331787109375,95006600.0
2019-01-10,231.78514246285744,234.40816389742625,231.0977196692672,234.1549072265625,96823900.0
2019-01-11,233.06947473557784,234.27246446442828,232.4815604995449,234.24533081054688,73858100.0
2019-01-14,232.327789761176,233.6302603815208,231.92078494413312,232.81622314453125,70908200.0
2019-01-15,233.19611831023883,235.80105951071687,233.1870645579208,235.48448181152344,85208300.0
2019-01-16,235.91862541295123,236.94975949513423,235.7106099283348,236.0543212890625,77636700.0
2019-01-17,235.17694976012888,238.71351643167625,235.13170860300124,237.84518432617188,96118400.0
2019-01-18,239.6722341321028,241.4812176342166,237.88133052796687,241.0108642578125,127900300.0
2019-01-22,239.5275696149508,239.74463885436364,236.12667098199367,237.75474548339844,115531200.0
2019-01-23,238.79492847360476,239.5004310902557,235.76487492152415,238.25222778320312,86030300.0
2019-01-24,238.0713212605368,238.96678707165532,237.0492409284232,238.37884521484372,59204100.0
2019-01-25,240.2421134927095,241.22803409044235,238.47837060583635,240.39588928222656,96883400.0
2019-01-28,238.23411380524777,238.6320648115237,236.78692137214503,238.5687713623047,85613700.0
2019-01-29,238.71352751048005,239.2833342523528,237.41105689467767,238.25222778320312,66136300.0
2019-01-30,239.78084893054395,242.87419629623588,239.01202516440063,242.0239715576172,92473700.0
2019-01-31,241.96062030829756,244.6379084187703,241.74352349730225,244.14947509765625,104012100.0
2019-02-01,244.3484908055802,245.2982238994061,243.4711325242056,244.26708984375,85782500.0
2019-02-04,244.31228026068476,246.04891675729692,243.6339113734441,245.985595703125,60744800.0
2019-02-05,246.4197252704354,247.3242169862708,245.91321211779928,247.0166931152344,79552800.0
2019-02-06,246.73629644419916,247.23375583375108,245.949393088448,246.6910552978516,58347800.0
2019-02-07,245.0630447803305,245.614771606116,242.6661466956256,244.33946228027344,95482000.0
2019-02-08,243.0821970292328,244.73740505349448,242.2500523397069,244.63792419433597,75788900.0
2019-02-11,245.29821084007085,245.56049361325915,244.239943186812,244.77359008789065,68021400.0
2019-02-12,246.40175503185085,248.3011663981024,246.3293802047522,247.9212951660156,72270200.0
2019-02-13,248.76244473464385,249.5764820503164,248.33733237159507,248.72625732421875,65277200.0
2019-02-14,247.6317531583125,249.3141221868437,246.808662343668,248.1744537353516,83234400.0
2019-02-15,249.9653910323308,250.9151241756912,249.7573755422165,250.87893676757807,97088700.0
2019-02-19,250.0739607150548,251.97337185261537,250.0649069620303,251.3131103515625,59120800.0
2019-02-20,251.2769860271372,252.28098676321983,250.77047258290335,251.81968688964844,76610800.0
2019-02-21,251.17738990672052,251.53918111479103,249.95632042694535,250.92413330078125,64214700.0
2019-02-22,251.5482357355041,252.67885064050975,250.9060541982737,252.4798889160156,78114600.0
2019-02-25,253.9180789801225,254.4426722565824,252.74222267999528,252.82362365722656,69030700.0
2019-02-26,252.4707377762872,253.5289774615436,252.2626947769712,252.64259338378903,56844100.0
2019-02-27,251.9191041438208,252.8869172171269,250.9784523295453,252.5341796875,56921600.0
2019-02-28,252.3171299964887,252.7603499332496,251.73826935665485,252.0638732910156,69268300.0
2019-03-01,253.65577521805787,254.05375396360452,252.1905023835038,253.6376953125,78880500.0
2019-03-04,254.7049507991981,254.94915370031003,250.3995600787464,252.71505737304688,106494600.0
2019-03-05,252.8417525267337,253.04074191108032,251.8196719436312,252.37139892578125,59114600.0
2019-03-06,252.48898634620173,252.49804010092672,250.5172000199077,250.84280395507807,75039800.0
2019-03-07,250.39049335334596,250.5352153771049,247.89411435148855,248.7443389892578,94885100.0
2019-03-08,246.8720388413359,248.4187123708308,246.4017129571415,248.24685668945312,85795800.0
2019-03-11,248.97046294685083,252.0095426489312,248.94332929247167,251.84674072265625,65098900.0
2019-03-12,252.4075380731377,253.3210838360617,252.21760247987325,252.7964630126953,79667500.0
2019-03-13,253.691922479354,255.4104517342664,253.529092943468,254.4697723388672,80639200.0
2019-03-14,254.4968813708823,254.9219936678052,253.86375360291132,254.30694580078125,67518400.0
2019-03-15,254.86389889458871,256.3810384918152,254.6730989474356,255.56341552734372,81309000.0
2019-03-18,255.78138013697227,256.78980280894024,255.55426116056776,256.489990234375,62199800.0
2019-03-19,257.5620421714422,258.33422459946627,255.65423700773349,256.5536193847656,90268100.0
2019-03-20,256.3355567719939,257.5529111201919,254.66396448531236,255.7813720703125,84609200.0
2019-03-21,254.95471615178448,259.0791772010998,254.9092757174122,258.6703796386719,79550400.0
2019-03-22,257.29854495549904,257.82544877759665,253.6282945645101,253.69189453125,122659300.0
2019-03-25,253.3466912943008,254.54588623793228,252.22928358615536,253.5011444091797,85575200.0
2019-03-26,255.27267126785503,256.35375996350456,253.9735571964404,255.39077758789065,68125900.0
2019-03-27,255.3816496580279,255.97218117889744,252.4927029191712,254.05528259277344,72224700.0
2019-03-28,254.6912267508691,255.472502725218,253.5283786957905,255.0182647705078,56238500.0
2019-03-29,256.54458325008136,256.95338086686195,255.40898810709504,256.6263427734375,82186800.0
2019-04-01,258.64309276635873,259.96945978133186,258.3705333691011,259.6696472167969,77617900.0
2019-04-02,259.8605360220584,260.0331487153683,258.99747255550886,259.79693603515625,40070400.0
2019-04-03,261.0233418834159,261.4230735580818,259.59702784992584,260.2057189941406,68243200.0
2019-04-04,260.5327333268747,261.15049032254257,259.8332168221759,260.8961181640625,48997500.0
2019-04-05,261.5683403236946,262.21335031913696,261.2776214407284,262.1588439941406,58621700.0
2019-04-08,261.7318531660325,262.46771626071967,261.06865592814506,262.35870361328125,53566300.0
2019-04-09,261.38666909416906,261.71370708794217,260.4600337206629,261.0141906738281,66142300.0
2019-04-10,261.4322071626097,261.99548574058014,261.01431583978905,261.9046325683594,52601500.0
2019-04-11,262.39509880268577,262.4041924341031,261.25950385495935,261.83184814453125,55093100.0
2019-04-12,263.4579730695208,263.8849577900265,261.87723410293734,263.60333251953125,69727800.0
2019-04-15,263.6760035793632,263.7759503326755,262.62216833937634,263.43072509765625,49596700.0
2019-04-16,264.32103614005786,264.3755424682517,263.0037351849182,263.60333251953125,52153200.0
2019-04-17,264.72991620906845,264.7571693816696,262.54048559514604,262.9584045410156,58268300.0
2019-04-18,263.54888989387865,263.7487557203927,262.2406822520571,263.4761962890625,68708500.0
2019-04-22,262.7040371265291,263.85779175358454,262.6131839747122,263.7033386230469,40160100.0
2019-04-23,264.07574396725005,266.3106144398442,263.8395591073564,266.07440185546875,52246600.0
2019-04-24,265.99272266490243,266.3288543829297,265.33861876986634,265.4839782714844,50392900.0
2019-04-25,265.3839735015602,265.9835709180462,264.1212064266683,265.32037353515625,57770900.0
2019-04-26,265.3658374133363,266.6286045998115,264.5845336593665,266.5559387207031,50916400.0
2019-04-29,266.6467778923857,267.50074748072143,266.55592475489544,266.97381591796875,57197700.0
2019-04-30,266.6286162438556,267.4008263999778,265.2023299737335,267.110107421875,81111700.0
2019-05-01,267.74596256695406,267.9549219612277,265.09320129293485,265.102294921875,71671900.0
2019-05-02,264.98432842699987,265.9109918844114,263.0220165297964,264.53009033203125,65030200.0
2019-05-03,266.01992305254674,267.4007964571772,264.6390219234317,267.1191711425781,56543700.0
2019-05-06,262.77672255163714,266.4651334488365,262.4587503588804,266.0199890136719,107198100.0
2019-05-07,263.5943019298056,264.1938994078152,259.65151947545775,261.5774841308594,144729900.0
2019-05-08,261.21405029296875,262.9401487986539,260.6144529274079,261.21405029296875,91568300.0
2019-05-09,259.12462253075154,261.0323999737638,257.3712427593684,260.4237365722656,103471100.0
2019-05-10,259.47884268818024,262.4949888716822,256.4626965046782,261.7318725585937,112429300.0
2019-05-13,256.57181968572,257.5438679940865,254.30969545581905,255.15457153320312,127290500.0
2019-05-14,256.1812033910596,259.0065788849186,256.0540311355147,257.462158203125,77003200.0
2019-05-15,255.8177712782737,259.61519456810805,255.60881180294717,258.9701843261719,73956400.0
2019-05-16,259.678750664903,262.7403100442406,259.60608479091053,261.3685302734375,76749600.0
2019-05-17,259.04294674700213,262.18626699739895,259.0247594772361,259.6788635253906,100353000.0
2019-05-20,258.0617721112501,259.7878715132829,257.207802182703,257.9618530273437,62877600.0
2019-05-21,259.66969081644834,260.6690199918842,259.4153186376545,260.2874755859375,46847100.0
2019-05-22,259.3244875642397,260.45098894228386,259.0065154165534,259.4880065917969,49482500.0
2019-05-23,257.2439875461465,257.2894002422392,254.89103876428416,256.3173522949219,98733800.0
2019-05-24,257.7710246410562,258.18894364905736,256.2720444761632,256.8988952636719,55268100.0
2019-05-28,257.18044288657813,258.1434251364081,254.4913619469293,254.509521484375,70029400.0
2019-05-29,253.38307375710764,253.79187136963853,251.3844152364328,252.8016357421875,104972900.0
2019-05-30,253.56470078695423,254.40960446337436,252.3836931804524,253.49203491210935,62523800.0
2019-05-31,250.9210143617261,251.7567965297545,250.0488576762011,250.07611083984372,86862800.0
2019-06-03,250.1125405085386,251.23904194501225,248.0957225572619,249.44027709960935,96428000.0
2019-06-04,251.75690563127048,254.9910784993359,251.30266755739052,254.8548126220703,77231900.0
2019-06-05,256.49000312688355,257.08960058166844,254.6639853174556,257.0623474121094,71169700.0
2019-06-06,257.3622589454688,259.41539653205257,256.7081549000934,258.7340393066406,69430400.0
2019-06-07,259.76057059782136,262.4133330696536,259.58795791688925,261.3231506347656,74272200.0
2019-06-10,262.8855709619971,264.2028716268186,262.4313331775033,262.5221862792969,60799100.0
2019-06-11,264.35739048327133,264.72986892528417,261.8045754491326,262.45867919921875,58641300.0
2019-06-12,262.2224802885782,262.7857308745849,261.4775234444159,261.995361328125,47096300.0
2019-06-13,262.9129885175682,263.43992020277284,262.20437823964835,263.0765075683594,48945200.0
2019-06-14,262.78570556640625,263.3943687960919,262.01349563033835,262.78570556640625,52324700.0
2019-06-17,263.02194699991384,263.6578912545552,262.7130685039264,262.8856811523437,39205700.0
2019-06-18,264.7208856512842,266.70135705673846,264.35747300208783,265.638427734375,85434800.0
2019-06-19,265.774583510431,266.77391243273365,264.79344184774914,266.2379150390625,78674400.0
2019-06-20,268.94522398526107,269.19050250728395,266.3015556832951,268.7816772460937,116570000.0
2019-06-21,268.50967195706096,269.7785808640298,268.1719054392203,268.3909912109375,83309500.0
2019-06-24,268.60092123114936,268.9204119740416,267.907112593114,268.06231689453125,47582700.0
2019-06-25,268.117139737388,268.14452545943897,265.3236846508583,265.4332275390625,82028700.0
2019-06-26,266.3369301829636,266.84814879707096,265.05888364769527,265.1684265136719,51584900.0
2019-06-27,265.9353124530248,266.6199833740757,265.5519123384617,266.1087646484375,40355200.0
2019-06-28,267.0946604309749,267.98016920994723,266.5743317393008,267.47808837890625,59350900.0
2019-07-01,270.8374837420539,271.05659732608285,268.6921764899057,269.9063415527344,78705600.0
2019-07-02,269.8607642106532,270.6641159306652,269.01177890354944,270.6093444824219,61504500.0
2019-07-03,271.2940034278664,272.7911639050872,271.14793695257663,272.7728881835937,40898900.0
2019-07-05,271.5313210910251,272.6268055491546,270.2258887442719,272.46246337890625,51677300.0
